Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Volatility,Volume_MA,Price_MA,Hour,Day,Month,Year,DayOfWeek,Ticker
2020-05-18 00:00:00+01:00,4038.7791270279963,4242.2139275005175,4012.3525475548504,4214.29150390625,5033736,0.0,0.0,,,,,0,18,5,2020,0,RIO.L
2020-05-19 00:00:00+01:00,4260.162506221454,4288.084919651745,4172.904964251797,4257.66943359375,3379080,0.0,0.0,0.010293053920758188,,,,0,19,5,2020,1,RIO.L
2020-05-20 00:00:00+01:00,4226.756527180629,4304.041800474601,4175.897831206532,4274.62353515625,2715306,0.0,0.0,0.003982014533286504,,,,0,20,5,2020,2,RIO.L
2020-05-21 00:00:00+01:00,4232.241085939355,4283.099779479155,4199.33251953125,4199.33251953125,3659204,0.0,0.0,-0.01761348455735945,,,,0,21,5,2020,3,RIO.L
2020-05-22 00:00:00+01:00,4088.640647910557,4253.183503253299,4072.186362376283,4250.6904296875,2491198,0.0,0.0,0.012230017489061051,,,,0,22,5,2020,4,RIO.L
2020-05-26 00:00:00+01:00,4267.643353335009,4293.671138890352,4133.515994759578,4167.92041015625,4099519,0.0,0.0,-0.01947213538609427,,,,0,26,5,2020,1,RIO.L
2020-05-27 00:00:00+01:00,4182.379319896102,4276.6174805375385,4156.949974961112,4247.19921875,3094780,0.0,0.0,0.0190211906159643,,,,0,27,5,2020,2,RIO.L
2020-05-28 00:00:00+01:00,4288.086301846508,4306.0364305519115,4243.210980082998,4276.6181640625,2841341,0.0,0.0,0.006926669505547212,,,,0,28,5,2020,3,RIO.L
2020-05-29 00:00:00+01:00,4288.58443891922,4400.274116203012,4275.620458520208,4301.0498046875,4490844,0.0,0.0,0.005712841242247357,,,,0,29,5,2020,4,RIO.L
2020-06-01 00:00:00+01:00,4467.586674663011,4471.5755913368175,4323.897053454492,4364.8720703125,2956888,0.0,0.0,0.014838764609385269,,,,0,1,6,2020,0,RIO.L
2020-06-02 00:00:00+01:00,4389.3044402272535,4440.163130776292,4354.401417301444,4430.689453125,3021434,0.0,0.0,0.015078880148665652,,,,0,2,6,2020,1,RIO.L
2020-06-03 00:00:00+01:00,4473.072308521139,4506.978106869087,4401.770409054133,4506.4794921875,2779690,0.0,0.0,0.017105698755087495,,,,0,3,6,2020,2,RIO.L
2020-06-04 00:00:00+01:00,4479.553789586829,4509.470667077391,4443.1549219733115,4457.61474609375,2115421,0.0,0.0,-0.010843219452892794,,,,0,4,6,2020,3,RIO.L
2020-06-05 00:00:00+01:00,4507.47618904533,4539.88613951966,4448.744353162483,4537.39306640625,3149927,0.0,0.0,0.017897087311641302,,,,0,5,6,2020,4,RIO.L
2020-06-08 00:00:00+01:00,4497.503863441781,4588.750338720034,4497.503863441781,4549.8583984375,4144309,0.0,0.0,0.0027472453562686905,,,,0,8,6,2020,0,RIO.L
2020-06-09 00:00:00+01:00,4587.254596857735,5137.725148480663,4448.639729691816,4512.46240234375,4168352,0.0,0.0,-0.008219156030568442,,,,0,9,6,2020,1,RIO.L
2020-06-10 00:00:00+01:00,4537.3934174333845,4580.772892962693,4493.51532724282,4565.814453125,2105554,0.0,0.0,0.011823267658371828,,,,0,10,6,2020,2,RIO.L
2020-06-11 00:00:00+01:00,4487.532045154338,4517.947540127051,4450.634559449736,4482.5458984375,3481650,0.0,0.0,-0.01823739346887132,,,,0,11,6,2020,3,RIO.L
2020-06-12 00:00:00+01:00,4396.7846924040605,4610.191797002489,4395.787462943321,4583.2666015625,7650616,0.0,0.0,0.02246953079947467,,,,0,12,6,2020,4,RIO.L
2020-06-15 00:00:00+01:00,4408.650491265417,4574.788974063389,4398.588604412552,4468.08544921875,2906355,0.0,0.0,-0.025130799134504445,,3514260.2,4382.423852539063,0,15,6,2020,0,RIO.L
2020-06-16 00:00:00+01:00,4587.253994078804,4618.666711646952,4516.9493404739005,4568.306640625,3144801,0.0,0.0,0.022430455403169125,0.015258326541885183,3419813.45,4400.124609375,0,16,6,2020,1,RIO.L
