Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Returns,Volatility,Volume_MA,Price_MA,Hour,Day,Month,Year,DayOfWeek,Ticker
2020-05-18 00:00:00+05:00,73.0127479324819,73.41099827203533,71.69188236508569,72.07022094726562,2684423,0.0,0.0,0.0,,,,,0,18,5,2020,0,OGDC.KA
2020-05-19 00:00:00+05:00,72.34899648827232,76.0660081390844,72.34899648827232,74.83142852783203,6245335,0.0,0.0,0.0,0.03831273921841882,,,,0,19,5,2020,1,OGDC.KA
2020-05-20 00:00:00+05:00,74.83144264487957,75.15668496040357,73.41101294272488,74.08804321289062,2122988,0.0,0.0,0.0,-0.009934132350085001,,,,0,20,5,2020,2,OGDC.KA
2020-05-21 00:00:00+05:00,75.00402544978357,75.60140365643724,74.70533887847134,74.94429016113281,1953848,0.0,0.0,0.0,0.01155715431411486,,,,0,21,5,2020,3,OGDC.KA
2020-05-22 00:00:00+05:00,74.94429016113281,74.94429016113281,74.94429016113281,74.94429016113281,0,0.0,0.0,0.0,0.0,,,,0,22,5,2020,4,OGDC.KA
2020-05-25 00:00:00+05:00,74.94429016113281,74.94429016113281,74.94429016113281,74.94429016113281,0,0.0,0.0,0.0,0.0,,,,0,25,5,2020,0,OGDC.KA
2020-05-26 00:00:00+05:00,74.94429016113281,74.94429016113281,74.94429016113281,74.94429016113281,0,0.0,0.0,0.0,0.0,,,,0,26,5,2020,1,OGDC.KA
2020-05-27 00:00:00+05:00,74.94429016113281,74.94429016113281,74.94429016113281,74.94429016113281,0,0.0,0.0,0.0,0.0,,,,0,27,5,2020,2,OGDC.KA
2020-05-28 00:00:00+05:00,73.5437699709568,74.2738966182582,72.54814134353786,73.61678314208984,2091306,0.0,0.0,0.0,-0.017713250951990944,,,,0,28,5,2020,3,OGDC.KA
2020-05-29 00:00:00+05:00,73.94199685578403,76.33150378763493,73.61012075235952,76.06600189208984,5937434,0.0,0.0,0.0,0.03326984208577399,,,,0,29,5,2020,4,OGDC.KA
2020-06-01 00:00:00+05:00,77.16120619731363,78.1236450231957,76.32487686705355,77.6789321899414,4021658,0.0,0.0,0.0,0.021204352243197055,,,,0,1,6,2020,0,OGDC.KA
2020-06-02 00:00:00+05:00,78.30950649626635,78.32277931543533,77.13466197067876,77.34042358398438,1785766,0.0,0.0,0.0,-0.004357791699933555,,,,0,2,6,2020,1,OGDC.KA
2020-06-03 00:00:00+05:00,78.58828666362395,79.10601273520057,76.8691652817172,77.32715606689453,3669259,0.0,0.0,0.0,-0.00017154699282762031,,,,0,3,6,2020,2,OGDC.KA
2020-06-04 00:00:00+05:00,77.27403587980652,77.27403587980652,75.54828103925827,75.734130859375,1647667,0.0,0.0,0.0,-0.020601109474935653,,,,0,4,6,2020,3,OGDC.KA
2020-06-05 00:00:00+05:00,75.73414816794603,76.32488740148165,75.39563302449486,76.09257507324219,1231203,0.0,0.0,0.0,0.004732928334950426,,,,0,5,6,2020,4,OGDC.KA
2020-06-08 00:00:00+05:00,78.31614079842775,78.32277974006257,77.32715118404482,77.55946350097656,1610028,0.0,0.0,0.0,0.019277681512584355,,,,0,8,6,2020,0,OGDC.KA
2020-06-09 00:00:00+05:00,76.9952588949029,77.6922007639592,76.53063435821713,77.53953552246094,1790571,0.0,0.0,0.0,-0.00025693806553184206,,,,0,9,6,2020,1,OGDC.KA
2020-06-10 00:00:00+05:00,77.32714132750273,77.3935155433044,76.40452605498352,76.55055236816406,1029991,0.0,0.0,0.0,-0.01275456639807182,,,,0,10,6,2020,2,OGDC.KA
2020-06-11 00:00:00+05:00,76.49745381269966,76.7164932906104,75.40226148717423,75.5416488647461,1623022,0.0,0.0,0.0,-0.013179571828113357,,,,0,11,6,2020,3,OGDC.KA
