Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Volatility,Volume_MA,Price_MA,Hour,Day,Month,Year,DayOfWeek,Ticker
2020-05-18 00:00:00-04:00,113.07313318232033,118.31833327612512,113.07313318232033,115.42408752441406,40044600,0.0,0.0,,,,,0,18,5,2020,0,DIS
2020-05-19 00:00:00-04:00,113.69544527126166,115.04873001809436,112.03594583351178,112.97435760498047,20332600,0.0,0.0,-0.02122373216869,,,,0,19,5,2020,1,DIS
2020-05-20 00:00:00-04:00,114.99934443512944,119.39504635241444,114.62398422453401,118.45663452148438,25749900,0.0,0.0,0.04852673679874253,,,,0,20,5,2020,2,DIS
2020-05-21 00:00:00-04:00,117.8837115616095,118.83200348407871,115.07837119454574,116.39214324951172,17578300,0.0,0.0,-0.017428245199708314,,,,0,21,5,2020,3,DIS
2020-05-22 00:00:00-04:00,116.06615991720794,117.12310251883204,115.40433766511396,116.5798110961914,9288200,0.0,0.0,0.0016123755559460662,,,,0,22,5,2020,4,DIS
2020-05-26 00:00:00-04:00,119.57284580079401,121.01502870864826,118.96040886610494,119.47406005859375,16466400,0.0,0.0,0.024826330864563317,,,,0,26,5,2020,1,DIS
2020-05-27 00:00:00-04:00,122.17073934514389,122.2695175428041,118.24918385405671,120.0469741821289,19345400,0.0,0.0,0.004795301367126692,,,,0,27,5,2020,2,DIS
2020-05-28 00:00:00-04:00,120.11612411171878,120.49149182750604,114.58446193915618,115.32530975341797,18606000,0.0,0.0,-0.039331807077015335,,,,0,28,5,2020,3,DIS
2020-05-29 00:00:00-04:00,114.77215114825013,116.31311226214729,112.72741138700427,115.86860656738281,17745100,0.0,0.0,0.004710993754332815,,,,0,29,5,2020,4,DIS
2020-06-01 00:00:00-04:00,115.82908765875759,118.18992207599005,115.50311281379403,117.3206558227539,10538300,0.0,0.0,0.012531860858503219,,,,0,1,6,2020,0,DIS
2020-06-02 00:00:00-04:00,117.54786023591694,118.38748630177182,116.39213938516517,117.30091094970703,10753100,0.0,0.0,-0.00016829835213938438,,,,0,2,6,2020,1,DIS
2020-06-03 00:00:00-04:00,118.52577072820668,120.95575066544147,117.86394848656542,120.68904876708984,12584300,0.0,0.0,0.028884156056004473,,,,0,3,6,2020,2,DIS
2020-06-04 00:00:00-04:00,120.46185353251319,122.98073915625523,120.36307532960629,122.18062591552734,14195100,0.0,0.0,0.012358844184081619,,,,0,4,6,2020,3,DIS
2020-06-05 00:00:00-04:00,124.76865245925804,126.26022822831526,122.76342550112025,123.29683685302734,16581600,0.0,0.0,0.009135744142215518,,,,0,5,6,2020,4,DIS
2020-06-08 00:00:00-04:00,123.57340878177838,125.88485778519407,122.42756812882612,125.726806640625,13858100,0.0,0.0,0.01970828976329897,,,,0,8,6,2020,0,DIS
2020-06-09 00:00:00-04:00,124.09694629210775,124.25499744467822,122.0028212746053,122.37818145751953,10882800,0.0,0.0,-0.02663413851492402,,,,0,9,6,2020,1,DIS
2020-06-10 00:00:00-04:00,122.506591795411,122.58561737132767,119.45430240449329,120.68904876708984,11497100,0.0,0.0,-0.01380256407075331,,,,0,10,6,2020,2,DIS
2020-06-11 00:00:00-04:00,116.16493749619222,116.56005784359877,110.88022451647426,111.26546478271484,26078800,0.0,0.0,-0.0780815167626433,,,,0,11,6,2020,3,DIS
2020-06-12 00:00:00-04:00,113.76458608804005,115.57225652444045,111.51240998721688,114.08068084716797,18361900,0.0,0.0,0.025301795754422374,,,,0,12,6,2020,4,DIS
2020-06-15 00:00:00-04:00,110.71230519638847,116.67860082292054,110.34681754173229,115.65129089355469,14156400,0.0,0.0,0.013767537454398848,,17232200.0,118.05607681274414,0,15,6,2020,0,DIS
2020-06-16 00:00:00-04:00,119.76051727612628,120.01734663010603,114.63385549537186,116.99468994140625,12951200,0.0,0.0,0.011615945118053528,0.02798039317585095,15877530.0,118.13460693359374,0,16,6,2020,1,DIS
2020-06-17 00:00:00-04:00,117.19224961840729,117.77505383760527,115.71055393961458,116.2143325805664,8921600,0.0,0.0,-0.006670023752622156,0.02755652663429919,15306980.0,118.29660568237304,0,17,6,2020,2,DIS
