Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Volatility,Volume_MA,Price_MA,Hour,Day,Month,Year,DayOfWeek,Ticker
2020-05-18 00:00:00-04:00,102.58630811690034,103.43507794287422,101.41924876300837,102.74545288085938,10020800,0.0,0.0,,,,,0,18,5,2020,0,PG
2020-05-19 00:00:00-04:00,101.75522496346186,102.24150253790802,99.32385058207791,99.41226959228516,8047600,0.0,0.0,-0.03244117569309157,,,,0,19,5,2020,1,PG
2020-05-20 00:00:00-04:00,99.90737310137315,100.58815488814874,99.13817231374492,100.1549301147461,6593800,0.0,0.0,0.007470511693443704,,,,0,20,5,2020,2,PG
2020-05-21 00:00:00-04:00,99.73056737656177,100.08421646489774,98.51929833819675,98.68728637695312,6552700,0.0,0.0,-0.014653734330516865,,,,0,21,5,2020,3,PG
2020-05-22 00:00:00-04:00,99.2796461564314,100.43786232013785,98.81105509005927,99.55372619628906,5571900,0.0,0.0,0.00877964985303592,,,,0,22,5,2020,4,PG
2020-05-26 00:00:00-04:00,100.9241530547922,100.9241530547922,98.7403354646781,99.0497817993164,10432400,0.0,0.0,-0.005062034503651169,,,,0,26,5,2020,1,PG
2020-05-27 00:00:00-04:00,99.4653110071886,100.76499215028356,98.86409819083934,100.69425964355469,8279700,0.0,0.0,0.016602538787719334,,,,0,27,5,2020,2,PG
2020-05-28 00:00:00-04:00,102.14424007336913,103.435077938573,101.58723677224714,102.61283111572266,6586700,0.0,0.0,0.019053434415819526,,,,0,28,5,2020,3,PG
2020-05-29 00:00:00-04:00,102.67472722768113,103.19637105646775,101.33968651665491,102.48905944824219,7868000,0.0,0.0,-0.001206200687912884,,,,0,29,5,2020,4,PG
2020-06-01 00:00:00-04:00,102.55980013784314,103.88600444997043,101.90554123257905,103.66497039794922,5105600,0.0,0.0,0.011473526599206085,,,,0,1,6,2020,0,PG
2020-06-02 00:00:00-04:00,103.50581824997967,104.451843655538,103.28478421367704,104.38111114501953,6327900,0.0,0.0,0.00690822313768269,,,,0,2,6,2020,1,PG
2020-06-03 00:00:00-04:00,104.4164977493939,105.38020984310575,104.28387595268175,104.79667663574219,6171000,0.0,0.0,0.003981232678633706,,,,0,3,6,2020,2,PG
2020-06-04 00:00:00-04:00,104.32807447498524,105.06190916010938,102.17962317996307,102.60401153564453,6895800,0.0,0.0,-0.020923040410136595,,,,0,4,6,2020,3,PG
2020-06-05 00:00:00-04:00,102.7808300423927,105.06190298610619,102.60400550608063,104.61983489990234,7337800,0.0,0.0,0.019646633051550122,,,,0,5,6,2020,4,PG
2020-06-08 00:00:00-04:00,103.83296403873642,105.31831321828378,103.30247688892183,105.25642395019531,6926700,0.0,0.0,0.0060847835489517,,,,0,8,6,2020,0,PG
2020-06-09 00:00:00-04:00,105.56585095575237,105.88414048917517,104.46068083842964,104.628662109375,5563200,0.0,0.0,-0.005964119027237258,,,,0,9,6,2020,1,PG
2020-06-10 00:00:00-04:00,105.2121807314761,105.99906120739706,104.42530025555513,105.41553497314453,6678200,0.0,0.0,0.007520624348106075,,,,0,10,6,2020,2,PG
2020-06-11 00:00:00-04:00,105.0442160342692,105.71616141113302,102.55979555900473,102.7896728515625,8937500,0.0,0.0,-0.024909631414866795,,,,0,11,6,2020,3,PG
2020-06-12 00:00:00-04:00,103.08142224874243,104.37226686050464,101.90552638978394,102.22381591796875,7998500,0.0,0.0,-0.00550499790393244,,,,0,12,6,2020,4,PG
2020-06-15 00:00:00-04:00,101.27779483159615,103.69148265192653,100.5793264901907,103.16984558105469,8786000,0.0,0.0,0.009254493726247759,,7334090.0,102.44750785827637,0,15,6,2020,0,PG
2020-06-16 00:00:00-04:00,104.79665660194004,105.18567866581373,103.38204011343146,104.44300079345703,8165200,0.0,0.0,0.012340381099069209,0.014664039624858127,7241310.0,102.53238525390626,0,16,6,2020,1,PG
2020-06-17 00:00:00-04:00,104.6728837868286,105.30946292771526,103.83295709813999,104.26618194580078,6320800,0.0,0.0,-0.0016929698142810201,0.012422553647756365,7154970.0,102.77508087158203,0,17,6,2020,2,PG
2020-06-18 00:00:00-04:00,103.85063499390111,106.06097544604125,103.77106597542746,105.45976257324219,6274400,0.0,0.0,0.011447437751790357,0.01253826822765124,7139000.0,103.04032249450684,0,18,6,2020,3,PG
2020-06-19 00:00:00-04:00,106.52956538179423,107.70546810842087,105.06190284518637,105.14147186279297,17506200,0.0,0.0,-0.003018124663690225,0.011948770520821106,7686675.0,103.36303176879883,0,19,6,2020,4,PG
2020-06-22 00:00:00-04:00,105.01768424471884,105.28292777128677,103.74452610986975,104.10702514648438,5695600,0.0,0.0,-0.009838617416907725,0.012216774030548242,7692860.0,103.5906967163086,0,22,6,2020,0,PG
2020-06-23 00:00:00-04:00,104.92040813005588,105.3801625864291,104.01859245858803,104.08932495117188,5340400,0.0,0.0,-0.0001700192209660445,0.012109917515568369,7438260.0,103.84267387390136,0,23,6,2020,1,PG
