Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Volatility,Volume_MA,Price_MA,Hour,Day,Month,Year,DayOfWeek,Ticker
2020-05-18 00:00:00-04:00,39.57384339236373,39.90284870514864,39.139306599154295,39.623504638671875,38633700,0.0,0.0,,,,,0,18,5,2020,0,WMT
2020-05-19 00:00:00-04:00,40.89296841511268,40.96745850076255,38.73890808559133,38.78236389160156,74746200,0.0,0.0,-0.02122832785087292,,,,0,19,5,2020,1,WMT
2020-05-20 00:00:00-04:00,39.26035709832089,39.29139493333698,38.6830420004535,38.937557220458984,32246400,0.0,0.0,0.004001646967451311,,,,0,20,5,2020,2,WMT
2020-05-21 00:00:00-04:00,38.76375433251132,39.15173091933534,38.56510929706603,38.79479217529297,22448100,0.0,0.0,-0.003666512625784435,,,,0,21,5,2020,3,WMT
2020-05-22 00:00:00-04:00,38.82892013242349,38.90651471064036,38.41611129302637,38.58992385864258,22359600,0.0,0.0,-0.005280820057617541,,,,0,22,5,2020,4,WMT
2020-05-26 00:00:00-04:00,38.593041235742696,38.95618895590063,38.372668297576894,38.44405746459961,23730600,0.0,0.0,-0.0037799088326083696,,,,0,26,5,2020,1,WMT
2020-05-27 00:00:00-04:00,38.47819435087925,38.63959252541095,37.565668437868815,38.015724182128906,31073700,0.0,0.0,-0.011141729326180627,,,,0,27,5,2020,2,WMT
2020-05-28 00:00:00-04:00,38.40060224033362,38.78237334649947,38.226786078021725,38.39128875732422,24424800,0.0,0.0,0.009879190342291677,,,,0,28,5,2020,3,WMT
2020-05-29 00:00:00-04:00,38.56199281998976,38.70787205655575,37.84500750795194,38.50612258911133,29311200,0.0,0.0,0.0029911429260160993,,,,0,29,5,2020,4,WMT
2020-06-01 00:00:00-04:00,38.313699449000346,38.614771504251024,37.978485055440686,38.47509765625,20550300,0.0,0.0,-0.000805714280619374,,,,0,1,6,2020,0,WMT
2020-06-02 00:00:00-04:00,38.36024346870046,38.534056045205816,38.118146238265474,38.468875885009766,19187700,0.0,0.0,-0.00016170904349155357,,,,0,2,6,2020,1,WMT
2020-06-03 00:00:00-04:00,38.456466693854885,38.48440358920546,38.071591115733874,38.323001861572266,20262900,0.0,0.0,-0.0037920011978915813,,,,0,3,6,2020,2,WMT
2020-06-04 00:00:00-04:00,38.11504663938823,38.45336190669803,37.810870151375134,37.900882720947266,24015000,0.0,0.0,-0.011014772333069023,,,,0,4,6,2020,3,WMT
2020-06-05 00:00:00-04:00,38.04365762312876,38.0777999546044,37.218039783531445,37.73017120361328,39337200,0.0,0.0,-0.0045041567657112536,,,,0,5,6,2020,4,WMT
2020-06-08 00:00:00-04:00,37.11561955219251,37.630855560302734,37.078372719786124,37.630855560302734,28344300,0.0,0.0,-0.002632260605831438,,,,0,8,6,2020,0,WMT
2020-06-09 00:00:00-04:00,37.74259170665658,37.86674662803235,37.41979530477564,37.66499710083008,20746200,0.0,0.0,0.0009072751607424046,,,,0,9,6,2020,1,WMT
2020-06-10 00:00:00-04:00,37.73016531902827,38.0219237860862,37.59670050808529,37.60601043701172,28141500,0.0,0.0,-0.0015660870399233362,,,,0,10,6,2020,2,WMT
2020-06-11 00:00:00-04:00,37.55324281977987,38.046750678681,37.084563802458455,37.273895263671875,34162800,0.0,0.0,-0.008831438631229482,,,,0,11,6,2020,3,WMT
2020-06-12 00:00:00-04:00,37.404262326371715,37.47875596868592,36.333442858497826,36.54450225830078,32359200,0.0,0.0,-0.019568467427711567,,,,0,12,6,2020,4,WMT
2020-06-15 00:00:00-04:00,36.7493621773294,36.83627025676075,36.31792982650048,36.65003967285156,32703300,0.0,0.0,0.0028879149537961446,,29939235.0,38.117683219909665,0,15,6,2020,0,WMT
2020-06-16 00:00:00-04:00,37.18389703848982,37.317361868764216,36.79281247794152,37.13733673095703,25167600,0.0,0.0,0.013295948993649498,0.008463547049744658,29265930.0,37.993374824523926,0,16,6,2020,1,WMT
2020-06-17 00:00:00-04:00,37.2025240828154,37.28632411962838,36.749363804056074,36.94490432739258,20166900,0.0,0.0,-0.005181642532918751,0.007352227554264062,26536965.0,37.90150184631348,0,17,6,2020,2,WMT
2020-06-18 00:00:00-04:00,36.79281274946194,36.954214475857654,36.51967765073179,36.62210464477539,20070000,0.0,0.0,-0.008737326256326172,0.007320346661380841,25928145.0,37.785729217529294,0,18,6,2020,3,WMT
2020-06-19 00:00:00-04:00,36.90146095987712,37.339098872103236,36.547623104670805,37.19942855834961,40078800,0.0,0.0,0.015764356504742283,0.008436471783204988,26809680.0,37.705961036682126,0,19,6,2020,4,WMT
2020-06-22 00:00:00-04:00,37.547045000904106,37.89467375077672,37.37012435580764,37.767417907714844,27338400,0.0,0.0,0.01526876544553124,0.00923737717057922,27058620.0,37.66483573913574,0,22,6,2020,0,WMT
2020-06-23 00:00:00-04:00,38.09952794194335,38.13056577934073,37.5439407067824,37.57808303833008,19727700,0.0,0.0,-0.005013180139754492,0.009260743854416796,26858475.0,37.62153701782226,0,23,6,2020,1,WMT
2020-06-24 00:00:00-04:00,37.475653943782355,37.59359985051511,37.115610787683984,37.33908462524414,20614800,0.0,0.0,-0.006360048032310606,0.009047051337752814,26335530.0,37.587705039978026,0,24,6,2020,2,WMT
2020-06-25 00:00:00-04:00,37.17148663405696,37.295641559347395,36.74315871310392,37.155967712402344,20569800,0.0,0.0,-0.0049041618100620354,0.008721628913134466,26142780.0,37.525938987731934,0,25,6,2020,3,WMT
2020-06-26 00:00:00-04:00,37.12182283081713,37.50669486629656,36.63141575171941,36.72452926635742,26991600,0.0,0.0,-0.011611551861180902,0.008926076583665257,26026800.0,37.43685932159424,0,26,6,2020,4,WMT
2020-06-29 00:00:00-04:00,36.78039604860692,37.1466481883693,36.693487978550024,36.9542121887207,16511400,0.0,0.0,0.006254210113829428,0.00912678836619392,25824855.0,37.36081504821777,0,29,6,2020,0,WMT
